,GROSS_QUANTITY
2022-04-21,33417553
2022-04-22,0
2022-04-23,0
2022-04-24,0
2022-04-25,0
2022-04-26,0
2022-04-27,0
2022-04-28,0
2022-04-29,0
2022-04-30,0
2022-05-01,0
2022-05-02,0
2022-05-03,0
2022-05-04,0
2022-05-05,0
2022-05-06,0
2022-05-07,0
2022-05-08,0
2022-05-09,0
2022-05-10,0
2022-05-11,0
2022-05-12,0
2022-05-13,0
2022-05-14,0
2022-05-15,0
2022-05-16,0
2022-05-17,0
2022-05-18,0
2022-05-19,0
2022-05-20,0
2022-05-21,0
2022-05-22,0
2022-05-23,0
2022-05-24,0
2022-05-25,0
2022-05-26,0
2022-05-27,0
2022-05-28,0
2022-05-29,0
2022-05-30,0
2022-05-31,0
2022-06-01,0
2022-06-02,0
2022-06-03,0
2022-06-04,0
2022-06-05,0
2022-06-06,0
2022-06-07,0
2022-06-08,0
2022-06-09,0
2022-06-10,0
2022-06-11,0
2022-06-12,0
2022-06-13,0
2022-06-14,0
2022-06-15,0
2022-06-16,0
2022-06-17,0
2022-06-18,0
2022-06-19,0
2022-06-20,0
2022-06-21,0
2022-06-22,0
2022-06-23,0
2022-06-24,0
2022-06-25,0
2022-06-26,0
2022-06-27,0
2022-06-28,678830576
2022-06-29,1124635
2022-06-30,0
2022-07-01,31678739
2022-07-02,0
2022-07-03,0
2022-07-04,0
2022-07-05,360000
2022-07-06,0
2022-07-07,0
2022-07-08,9199569
2022-07-09,0
2022-07-10,0
2022-07-11,0
2022-07-12,0
2022-07-13,1260000
2022-07-14,0
2022-07-15,0
2022-07-16,0
2022-07-17,0
2022-07-18,0
2022-07-19,9037667
2022-07-20,0
2022-07-21,0
2022-07-22,17930132
2022-07-23,0
2022-07-24,0
2022-07-25,0
2022-07-26,0
2022-07-27,500000
2022-07-28,2500000
2022-07-29,0
2022-07-30,0
2022-07-31,0
2022-08-01,0
2022-08-02,0
2022-08-03,59489224
2022-08-04,500000
2022-08-05,500000
2022-08-06,0
2022-08-07,0
2022-08-08,1898342
2022-08-09,0
2022-08-10,1000000
2022-08-11,0
2022-08-12,32360
2022-08-13,0
2022-08-14,0
2022-08-15,499735
2022-08-16,1241026
2022-08-17,0
2022-08-18,0
2022-08-19,6716545
2022-08-20,0
2022-08-21,0
2022-08-22,0
2022-08-23,0
2022-08-24,0
2022-08-25,0
2022-08-26,13442518
2022-08-27,0
2022-08-28,0
2022-08-29,0
2022-08-30,0
2022-08-31,0
2022-09-01,1500000
2022-09-02,17966180
2022-09-03,0
2022-09-04,0
2022-09-05,3549950
2022-09-06,0
2022-09-07,1216545
2022-09-08,0
2022-09-09,0
2022-09-10,0
2022-09-11,0
2022-09-12,0
2022-09-13,500000
2022-09-14,0
2022-09-15,0
2022-09-16,9741362
2022-09-17,0
2022-09-18,0
2022-09-19,0
2022-09-20,2500000
2022-09-21,1300000
2022-09-22,0
2022-09-23,0
2022-09-24,0
2022-09-25,0
2022-09-26,6000000
2022-09-27,0
2022-09-28,0
2022-09-29,0
2022-09-30,13063092
2022-10-01,0
2022-10-02,0
2022-10-03,0
2022-10-04,39631571
2022-10-05,0
2022-10-06,37486878
2022-10-07,0
2022-10-08,0
2022-10-09,0
2022-10-10,0
2022-10-11,0
2022-10-12,0
2022-10-13,0
2022-10-14,0
2022-10-15,0
2022-10-16,0
2022-10-17,4352297
2022-10-18,1072197
2022-10-19,0
2022-10-20,0
2022-10-21,3000000
2022-10-22,0
2022-10-23,0
2022-10-24,0
2022-10-25,1118640
2022-10-26,1319943
2022-10-27,0
2022-10-28,22413342
2022-10-29,0
2022-10-30,0
2022-10-31,2639652
2022-11-01,1500000
2022-11-02,3045066
2022-11-03,0
2022-11-04,0
2022-11-05,0
2022-11-06,0
2022-11-07,0
2022-11-08,0
2022-11-09,3500000
2022-11-10,0
2022-11-11,0
2022-11-12,0
2022-11-13,0
2022-11-14,12127127
2022-11-15,0
2022-11-16,0
2022-11-17,20960450
2022-11-18,0
2022-11-19,0
2022-11-20,0
2022-11-21,0
2022-11-22,900000
2022-11-23,0
2022-11-24,0
2022-11-25,332627
2022-11-26,0
2022-11-27,0
2022-11-28,0
2022-11-29,0
2022-11-30,1500000
2022-12-01,0
2022-12-02,900000
2022-12-03,0
2022-12-04,0
2022-12-05,40247694
2022-12-06,440101
2022-12-07,0
2022-12-08,0
2022-12-09,0
2022-12-10,0
2022-12-11,0
2022-12-12,0
2022-12-13,200000
2022-12-14,0
2022-12-15,1214754
2022-12-16,0
2022-12-17,0
2022-12-18,0
2022-12-19,0
2022-12-20,45619217
2022-12-21,300000
2022-12-22,0
2022-12-23,1300000
2022-12-24,0
2022-12-25,0
2022-12-26,39431638
2022-12-27,8563092
2022-12-28,14730147
2022-12-29,1000000
2022-12-30,7329476
2022-12-31,0
2023-01-01,0
2023-01-02,0
2023-01-03,0
2023-01-04,4000000
2023-01-05,0
2023-01-06,2436053
2023-01-07,0
2023-01-08,0
2023-01-09,0
2023-01-10,0
2023-01-11,0
2023-01-12,0
2023-01-13,0
2023-01-14,0
2023-01-15,0
2023-01-16,5000000
2023-01-17,0
2023-01-18,0
2023-01-19,8184159
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,2439024
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,0
2023-01-28,0
2023-01-29,0
2023-01-30,2300000
2023-01-31,12573621
2023-02-01,0
2023-02-02,1498452
2023-02-03,0
2023-02-04,0
2023-02-05,0
2023-02-06,0
2023-02-07,0
2023-02-08,10510000
2023-02-09,0
2023-02-10,317415
2023-02-11,0
2023-02-12,0
2023-02-13,0
2023-02-14,2460165
2023-02-15,1000000
2023-02-16,0
2023-02-17,825260
2023-02-18,0
2023-02-19,0
2023-02-20,200524
2023-02-21,0
2023-02-22,9300000
2023-02-23,0
2023-02-24,0
2023-02-25,0
2023-02-26,0
2023-02-27,30397
2023-02-28,0
2023-03-01,5250000
2023-03-02,0
2023-03-03,4000000
2023-03-04,0
2023-03-05,0
2023-03-06,400000
2023-03-07,0
2023-03-08,30000000
2023-03-09,6000000
2023-03-10,1197604
2023-03-11,0
2023-03-12,0
2023-03-13,3437408
2023-03-14,0
2023-03-15,5500000
2023-03-16,1862592
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,4000000
2023-03-22,0
2023-03-23,2897604
2023-03-24,1800000
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,1500000
2023-03-29,900000
2023-03-30,600000
2023-03-31,0
2023-04-01,0
2023-04-02,0
2023-04-03,0
2023-04-04,15000000
2023-04-05,5420176
2023-04-06,0
2023-04-07,24087362
2023-04-08,0
2023-04-09,0
2023-04-10,0
2023-04-11,600000
2023-04-12,1213592
2023-04-13,800000
2023-04-14,303398
2023-04-15,0
2023-04-16,0
2023-04-17,13595422
2023-04-18,0
2023-04-19,0
2023-04-20,0
2023-04-21,500000
2023-04-22,0
2023-04-23,0
2023-04-24,0
2023-04-25,0
2023-04-26,0
2023-04-27,0
2023-04-28,450000
2023-04-29,0
2023-04-30,0
2023-05-01,0
2023-05-02,0
2023-05-03,440000
2023-05-04,0
2023-05-05,16800000
2023-05-06,0
2023-05-07,0
2023-05-08,0
2023-05-09,3500000
2023-05-10,3045066
2023-05-11,500000
2023-05-12,504500000
2023-05-13,0
2023-05-14,0
2023-05-15,6850000
2023-05-16,1713592
2023-05-17,350000
2023-05-18,0
2023-05-19,1000000
2023-05-20,0
2023-05-21,0
