FOLIO_NUMBER,CUSTOMER_NUMBER,TERMINAL_PRODUCT_NUMBER,ORDERED_QUANTITY
20210927.0,3,4,83100
20210927.0,3,7,273100
20210927.0,3,8,57600
20210927.0,5,7,95000
20210927.0,6,7,44000
20210927.0,7,4,6000
20210927.0,7,7,25000
20210927.0,8,4,26000
20210927.0,8,7,325000
20210927.0,8,10,35500
20210927.0,8,11,9750
20210927.0,9,4,3000
20210927.0,9,7,41000
20210927.0,12,4,22000
20210927.0,12,7,323271
20210927.0,13,4,25100
20210927.0,13,7,232100
20210927.0,14,7,33000
20210927.0,15,7,74000
20210927.0,16,7,33000
20210928.0,3,4,216100
20210928.0,3,7,925300
20210928.0,3,8,154500
20210928.0,5,4,32000
20210928.0,5,7,336000
20210928.0,5,12,41500
20210928.0,5,13,4800
20210928.0,6,4,19000
20210928.0,6,7,208000
20210928.0,8,4,76000
20210928.0,8,7,861000
20210928.0,8,10,101700
20210928.0,8,11,28500
20210928.0,9,4,20000
20210928.0,9,7,488000
20210928.0,12,4,46000
20210928.0,12,7,581000
20210928.0,13,4,64000
20210928.0,13,7,415000
20210928.0,14,7,33000
20210928.0,15,4,11000
20210928.0,15,7,341000
20210928.0,16,4,6000
20210928.0,16,7,187000
20210929.0,3,4,251400
20210929.0,3,7,1102100
20210929.0,3,8,222000
20210929.0,5,4,52000
20210929.0,5,7,228000
20210929.0,5,12,40500
20210929.0,5,13,2550
20210929.0,6,4,17000
20210929.0,6,7,134000
20210929.0,7,4,33000
20210929.0,7,7,33000
20210929.0,8,4,46000
20210929.0,8,7,719000
20210929.0,8,10,77200
20210929.0,8,11,17250
20210929.0,9,4,23000
20210929.0,9,7,412000
20210929.0,12,4,32000
20210929.0,12,7,651000
20210929.0,13,4,12000
20210929.0,13,7,491000
20210929.0,14,7,33000
20210929.0,15,4,24000
20210929.0,15,7,303000
20210929.0,16,4,6000
20210929.0,16,7,154000
20210930.0,3,4,258200
20210930.0,3,7,1296200
20210930.0,3,8,218160
20210930.0,5,4,45000
20210930.0,5,7,374000
20210930.0,5,12,74500
20210930.0,5,13,3000
20210930.0,6,4,12000
20210930.0,6,7,269000
20210930.0,7,4,42000
20210930.0,7,7,100000
20210930.0,8,4,38000
20210930.0,8,7,519000
20210930.0,8,10,61300
20210930.0,8,11,14250
20210930.0,9,4,37000
20210930.0,9,7,606000
20210930.0,12,4,26000
20210930.0,12,7,673000
20210930.0,13,4,64000
20210930.0,13,7,539000
20210930.0,15,4,4000
20210930.0,15,7,382000
20210930.0,16,7,141000
20211001.0,3,4,286300
20211001.0,3,7,971100
20211001.0,3,8,211200
20211001.0,5,4,25000
20211001.0,5,7,262000
20211001.0,5,12,65500
20211001.0,5,13,3750
20211001.0,6,4,6000
20211001.0,6,7,54000
20211001.0,7,4,40000
20211001.0,7,7,73000
20211001.0,8,4,40000
20211001.0,8,7,595000
20211001.0,8,10,74900
20211001.0,8,11,15000
20211001.0,9,4,25000
20211001.0,9,7,250000
20211001.0,12,4,22000
20211001.0,12,7,241000
20211001.0,13,4,28000
20211001.0,13,7,167000
20211001.0,15,4,7000
20211001.0,15,7,66000
20211001.0,16,7,47000
20211002.0,3,4,123000
20211002.0,3,7,870100
20211002.0,3,8,223200
20211002.0,5,4,4000
20211002.0,5,7,62000
20211002.0,5,12,7250
20211002.0,5,13,600
20211002.0,6,4,19000
20211002.0,6,7,109000
20211002.0,8,4,64000
20211002.0,8,7,754000
20211002.0,8,10,88400
20211002.0,8,11,24000
20211002.0,12,4,13000
20211002.0,12,7,155000
20211002.0,13,4,24000
20211002.0,13,7,180000
20211002.0,15,4,2000
