_id,INJECTOR_CODE,FOLIO_NUMBER,FRAC_UNACCOUNTED
6638d02b36388c250bddfc2a,INJ_201,09/28/2021,-1
6638d02b36388c250bddfc2b,INJ_201,09/29/2021,1
6638d02b36388c250bddfc2c,INJ_201,09/30/2021,0
6638d02b36388c250bddfc2d,INJ_201,10/01/2021,-1
6638d02b36388c250bddfc2e,INJ_201,10/02/2021,1
6638d02b36388c250bddfc2f,INJ_201,10/04/2021,0
6638d02b36388c250bddfc30,INJ_201,10/05/2021,-2
6638d02b36388c250bddfc31,INJ_201,10/06/2021,1
6638d02b36388c250bddfc32,INJ_201,10/07/2021,-1
6638d02b36388c250bddfc33,INJ_201,10/08/2021,-2
6638d02b36388c250bddfc34,INJ_201,10/09/2021,0
6638d02b36388c250bddfc35,INJ_201,10/11/2021,0
6638d02b36388c250bddfc36,INJ_201,10/12/2021,-2
6638d02b36388c250bddfc37,INJ_201,10/13/2021,201
6638d02b36388c250bddfc38,INJ_201,10/22/2021,1
6638d02b36388c250bddfc39,INJ_201,10/23/2021,0
6638d02b36388c250bddfc3a,INJ_201,10/25/2021,0
6638d02b36388c250bddfc3b,INJ_201,10/26/2021,-1
6638d02b36388c250bddfc3c,INJ_201,10/27/2021,1
6638d02b36388c250bddfc3d,INJ_201,10/28/2021,0
6638d02b36388c250bddfc3e,INJ_201,10/29/2021,0
6638d02b36388c250bddfc3f,INJ_201,10/30/2021,-1
6638d02b36388c250bddfc40,INJ_201,11/01/2021,0
6638d02b36388c250bddfc41,INJ_201,11/02/2021,1
6638d02b36388c250bddfc42,INJ_201,11/03/2021,2
6638d02b36388c250bddfc43,INJ_201,11/04/2021,0
6638d02b36388c250bddfc44,INJ_201,11/05/2021,0
6638d02b36388c250bddfc45,INJ_201,11/06/2021,0
6638d02b36388c250bddfc46,INJ_201,11/08/2021,0
6638d02b36388c250bddfc47,INJ_201,11/09/2021,1
6638d02b36388c250bddfc48,INJ_201,11/10/2021,0
6638d02b36388c250bddfc49,INJ_201,11/11/2021,-1
6638d02b36388c250bddfc4a,INJ_201,11/12/2021,1
6638d02b36388c250bddfc4b,INJ_201,11/13/2021,999
6638d02b36388c250bddfc4c,INJ_201,11/15/2021,0
6638d02b36388c250bddfc4d,INJ_201,11/16/2021,0
6638d02b36388c250bddfc4e,INJ_201,11/17/2021,0
