_id,FOLIO_NUMBER,TANK_CODE,quantity_difference
663f6217bead5c21d9c3ee06,09/27/2021,TK-100,-41
663f6217bead5c21d9c3ee07,09/28/2021,TK-100,-7
663f6217bead5c21d9c3ee08,09/29/2021,TK-100,-12
663f6217bead5c21d9c3ee09,09/30/2021,TK-100,-14
663f6217bead5c21d9c3ee0a,10/01/2021,TK-100,-10
663f6217bead5c21d9c3ee0b,10/02/2021,TK-100,-14
663f6217bead5c21d9c3ee0c,10/04/2021,TK-100,-10
663f6217bead5c21d9c3ee0d,10/05/2021,TK-100,-14
663f6217bead5c21d9c3ee0e,10/06/2021,TK-100,-9
663f6217bead5c21d9c3ee0f,10/07/2021,TK-100,-12
663f6217bead5c21d9c3ee10,10/08/2021,TK-100,-12
663f6217bead5c21d9c3ee11,10/09/2021,TK-100,-17
663f6217bead5c21d9c3ee12,10/11/2021,TK-100,-11
663f6217bead5c21d9c3ee13,10/12/2021,TK-100,-11
663f6217bead5c21d9c3ee14,10/13/2021,TK-100,-3
663f6217bead5c21d9c3ee15,10/14/2021,TK-100,0
663f6217bead5c21d9c3ee16,10/15/2021,TK-100,0
663f6217bead5c21d9c3ee17,10/22/2021,TK-100,-8
663f6217bead5c21d9c3ee18,10/23/2021,TK-100,-10
663f6217bead5c21d9c3ee19,10/25/2021,TK-100,-3
663f6217bead5c21d9c3ee1a,10/26/2021,TK-100,-5
663f6217bead5c21d9c3ee1b,10/27/2021,TK-100,-19
663f6217bead5c21d9c3ee1c,10/28/2021,TK-100,-4
663f6217bead5c21d9c3ee1d,10/29/2021,TK-100,-10
663f6217bead5c21d9c3ee1e,10/30/2021,TK-100,-20
663f6217bead5c21d9c3ee1f,11/01/2021,TK-100,-13
663f6217bead5c21d9c3ee20,11/02/2021,TK-100,-11
663f6217bead5c21d9c3ee21,11/03/2021,TK-100,-11
663f6217bead5c21d9c3ee22,11/04/2021,TK-100,-8
663f6217bead5c21d9c3ee23,11/05/2021,TK-100,-13
663f6217bead5c21d9c3ee24,11/06/2021,TK-100,-13
663f6217bead5c21d9c3ee25,11/08/2021,TK-100,-12
663f6217bead5c21d9c3ee26,11/09/2021,TK-100,-11
663f6217bead5c21d9c3ee27,11/10/2021,TK-100,-12
