_id,METER_CODE,FOLIO_NUMBER,GROSS_UNACCOUNTED
663d31c3d9a15983eb2c2e4f,MTR_201,09/27/2021,7998
663d31c3d9a15983eb2c2e50,MTR_201,09/28/2021,13995
663d31c3d9a15983eb2c2e51,MTR_201,09/29/2021,4
663d31c3d9a15983eb2c2e52,MTR_201,09/30/2021,1
663d31c3d9a15983eb2c2e53,MTR_201,10/01/2021,3
663d31c3d9a15983eb2c2e54,MTR_201,10/02/2021,1
663d31c3d9a15983eb2c2e55,MTR_201,10/04/2021,3
663d31c3d9a15983eb2c2e56,MTR_201,10/05/2021,-1
663d31c3d9a15983eb2c2e57,MTR_201,10/06/2021,4
663d31c3d9a15983eb2c2e58,MTR_201,10/07/2021,1
663d31c3d9a15983eb2c2e59,MTR_201,10/08/2021,0
663d31c3d9a15983eb2c2e5a,MTR_201,10/09/2021,2
663d31c3d9a15983eb2c2e5b,MTR_201,10/11/2021,2
663d31c3d9a15983eb2c2e5c,MTR_201,10/12/2021,4
663d31c3d9a15983eb2c2e5d,MTR_201,10/13/2021,266975
663d31c3d9a15983eb2c2e5e,MTR_201,10/14/2021,193875
663d31c3d9a15983eb2c2e5f,MTR_201,10/15/2021,3
663d31c3d9a15983eb2c2e60,MTR_201,10/16/2021,6
663d31c3d9a15983eb2c2e61,MTR_201,10/17/2021,1
663d31c3d9a15983eb2c2e62,MTR_201,10/18/2021,-3
663d31c3d9a15983eb2c2e63,MTR_201,10/19/2021,3
663d31c3d9a15983eb2c2e64,MTR_201,10/20/2021,1
663d31c3d9a15983eb2c2e65,MTR_201,10/21/2021,2
663d31c3d9a15983eb2c2e66,MTR_201,10/22/2021,3
663d31c3d9a15983eb2c2e67,MTR_201,10/23/2021,2
663d31c3d9a15983eb2c2e68,MTR_201,10/25/2021,1
663d31c3d9a15983eb2c2e69,MTR_201,10/26/2021,0
663d31c3d9a15983eb2c2e6a,MTR_201,10/27/2021,3
663d31c3d9a15983eb2c2e6b,MTR_201,10/28/2021,1
663d31c3d9a15983eb2c2e6c,MTR_201,10/29/2021,4
663d31c3d9a15983eb2c2e6d,MTR_201,10/30/2021,1
663d31c3d9a15983eb2c2e6e,MTR_201,11/01/2021,0
663d31c3d9a15983eb2c2e6f,MTR_201,11/02/2021,7
663d31c3d9a15983eb2c2e70,MTR_201,11/03/2021,-1
663d31c3d9a15983eb2c2e71,MTR_201,11/04/2021,1
663d31c3d9a15983eb2c2e72,MTR_201,11/05/2021,-2
663d31c3d9a15983eb2c2e73,MTR_201,11/06/2021,-3
663d31c3d9a15983eb2c2e74,MTR_201,11/07/2021,0
663d31c3d9a15983eb2c2e75,MTR_201,11/08/2021,1
663d31c3d9a15983eb2c2e76,MTR_201,11/09/2021,1
663d31c3d9a15983eb2c2e77,MTR_201,11/10/2021,-8
663d31c3d9a15983eb2c2e78,MTR_201,11/11/2021,5
663d31c3d9a15983eb2c2e79,MTR_201,11/12/2021,3
663d31c3d9a15983eb2c2e7a,MTR_201,11/13/2021,37993
663d31c3d9a15983eb2c2e7b,MTR_201,11/14/2021,1
663d31c3d9a15983eb2c2e7c,MTR_201,11/15/2021,-3
663d31c3d9a15983eb2c2e7d,MTR_201,11/16/2021,7
663d31c3d9a15983eb2c2e7e,MTR_201,11/17/2021,-1
663d31c3d9a15983eb2c2e7f,MTR_201,11/18/2021,2
663d31c3d9a15983eb2c2e80,MTR_201,11/19/2021,1
663d31c3d9a15983eb2c2e81,MTR_201,11/20/2021,7
663d31c3d9a15983eb2c2e82,MTR_201,11/21/2021,0
663d31c3d9a15983eb2c2e83,MTR_201,11/22/2021,0
663d31c3d9a15983eb2c2e84,MTR_201,11/23/2021,5
663d31c3d9a15983eb2c2e85,MTR_201,11/24/2021,2
663d31c3d9a15983eb2c2e86,MTR_201,11/25/2021,-5
663d31c3d9a15983eb2c2e87,MTR_201,11/26/2021,5
663d31c3d9a15983eb2c2e88,MTR_201,11/27/2021,6
663d31c3d9a15983eb2c2e89,MTR_201,11/29/2021,2
663d31c3d9a15983eb2c2e8a,MTR_201,11/30/2021,-1
663d31c3d9a15983eb2c2e8b,MTR_201,12/01/2021,3
663d31c3d9a15983eb2c2e8c,MTR_201,12/02/2021,2
663d31c3d9a15983eb2c2e8d,MTR_201,12/03/2021,7001
663d31c3d9a15983eb2c2e8e,MTR_201,12/04/2021,-2
663d31c3d9a15983eb2c2e8f,MTR_201,12/06/2021,5
663d31c3d9a15983eb2c2e90,MTR_201,12/07/2021,3
663d31c3d9a15983eb2c2e91,MTR_201,12/08/2021,1
663d31c3d9a15983eb2c2e92,MTR_201,12/09/2021,6
663d31c3d9a15983eb2c2e93,MTR_201,12/10/2021,10
663d31c3d9a15983eb2c2e94,MTR_201,12/11/2021,5
663d31c3d9a15983eb2c2e95,MTR_201,12/13/2021,-1
663d31c3d9a15983eb2c2e96,MTR_201,12/14/2021,5
663d31c3d9a15983eb2c2e97,MTR_201,12/15/2021,0
663d31c3d9a15983eb2c2e98,MTR_201,12/16/2021,-1
663d31c3d9a15983eb2c2e99,MTR_201,12/17/2021,4
663d31c3d9a15983eb2c2e9a,MTR_201,12/18/2021,1
663d31c3d9a15983eb2c2e9b,MTR_201,12/20/2021,0
663d31c3d9a15983eb2c2e9c,MTR_201,12/21/2021,3
663d31c3d9a15983eb2c2e9d,MTR_201,12/22/2021,-3
663d31c3d9a15983eb2c2e9e,MTR_201,12/23/2021,1
663d31c3d9a15983eb2c2e9f,MTR_201,12/24/2021,-3
663d31c3d9a15983eb2c2ea0,MTR_201,12/25/2021,0
663d31c3d9a15983eb2c2ea1,MTR_201,12/27/2021,11
663d31c3d9a15983eb2c2ea2,MTR_201,12/28/2021,4
663d31c3d9a15983eb2c2ea3,MTR_201,12/29/2021,1
663d31c3d9a15983eb2c2ea4,MTR_201,12/30/2021,5
663d31c3d9a15983eb2c2ea5,MTR_201,12/31/2021,9
663d31c3d9a15983eb2c2ea6,MTR_201,01/01/2022,1996
663d31c3d9a15983eb2c2ea7,MTR_201,01/02/2022,-1
663d31c3d9a15983eb2c2ea8,MTR_201,01/03/2022,3
663d31c3d9a15983eb2c2ea9,MTR_201,01/04/2022,2
663d31c3d9a15983eb2c2eaa,MTR_201,01/05/2022,3
663d31c3d9a15983eb2c2eab,MTR_201,01/06/2022,4
663d31c3d9a15983eb2c2eac,MTR_201,01/07/2022,-2
663d31c3d9a15983eb2c2ead,MTR_201,01/08/2022,1
663d31c3d9a15983eb2c2eae,MTR_201,01/10/2022,9
663d31c3d9a15983eb2c2eaf,MTR_201,01/11/2022,0
663d31c3d9a15983eb2c2eb0,MTR_201,01/12/2022,0
663d31c3d9a15983eb2c2eb1,MTR_201,01/13/2022,-2
663d31c3d9a15983eb2c2eb2,MTR_201,01/14/2022,3
663d31c3d9a15983eb2c2eb3,MTR_201,01/15/2022,1
663d31c3d9a15983eb2c2eb4,MTR_201,01/16/2022,2
663d31c3d9a15983eb2c2eb5,MTR_201,01/17/2022,-3
663d31c3d9a15983eb2c2eb6,MTR_201,01/18/2022,2
663d31c3d9a15983eb2c2eb7,MTR_201,01/19/2022,3
663d31c3d9a15983eb2c2eb8,MTR_201,01/20/2022,4
663d31c3d9a15983eb2c2eb9,MTR_201,01/21/2022,1
663d31c3d9a15983eb2c2eba,MTR_201,01/22/2022,-1
663d31c3d9a15983eb2c2ebb,MTR_201,01/24/2022,-1
663d31c3d9a15983eb2c2ebc,MTR_201,01/25/2022,3
663d31c3d9a15983eb2c2ebd,MTR_201,01/26/2022,0
663d31c3d9a15983eb2c2ebe,MTR_201,01/27/2022,0
663d31c3d9a15983eb2c2ebf,MTR_201,01/28/2022,2
663d31c3d9a15983eb2c2ec0,MTR_201,01/29/2022,-3
