_id,FOLIO_NUMBER,CUSTOMER_NUMBER,TERMINAL_PRODUCT_NUMBER,ORDERED_QUANTITY
6638b175bd5ca0cb694dac81,2021-09-27T00:00:00.000Z,3,4,83100
6638b175bd5ca0cb694dac82,2021-09-27T00:00:00.000Z,3,7,273100
6638b175bd5ca0cb694dac83,2021-09-27T00:00:00.000Z,3,8,57600
6638b175bd5ca0cb694dac84,2021-09-27T00:00:00.000Z,5,7,95000
6638b175bd5ca0cb694dac85,2021-09-27T00:00:00.000Z,6,7,44000
6638b175bd5ca0cb694dac86,2021-09-27T00:00:00.000Z,7,4,6000
6638b175bd5ca0cb694dac87,2021-09-27T00:00:00.000Z,7,7,25000
6638b175bd5ca0cb694dac88,2021-09-27T00:00:00.000Z,8,4,26000
6638b175bd5ca0cb694dac89,2021-09-27T00:00:00.000Z,8,7,325000
6638b175bd5ca0cb694dac8a,2021-09-27T00:00:00.000Z,8,10,35500
6638b175bd5ca0cb694dac8b,2021-09-27T00:00:00.000Z,8,11,9750
6638b175bd5ca0cb694dac8c,2021-09-27T00:00:00.000Z,9,4,3000
6638b175bd5ca0cb694dac8d,2021-09-27T00:00:00.000Z,9,7,41000
6638b175bd5ca0cb694dac8e,2021-09-27T00:00:00.000Z,12,4,22000
6638b175bd5ca0cb694dac8f,2021-09-27T00:00:00.000Z,12,7,323271
6638b175bd5ca0cb694dac90,2021-09-27T00:00:00.000Z,13,4,25100
6638b175bd5ca0cb694dac91,2021-09-27T00:00:00.000Z,13,7,232100
6638b175bd5ca0cb694dac92,2021-09-27T00:00:00.000Z,14,7,33000
6638b175bd5ca0cb694dac93,2021-09-27T00:00:00.000Z,15,7,74000
6638b175bd5ca0cb694dac94,2021-09-27T00:00:00.000Z,16,7,33000
6638b175bd5ca0cb694dac95,2021-09-28T00:00:00.000Z,3,4,216100
6638b175bd5ca0cb694dac96,2021-09-28T00:00:00.000Z,3,7,925300
6638b175bd5ca0cb694dac97,2021-09-28T00:00:00.000Z,3,8,154500
6638b175bd5ca0cb694dac98,2021-09-28T00:00:00.000Z,5,4,32000
6638b175bd5ca0cb694dac99,2021-09-28T00:00:00.000Z,5,7,336000
6638b175bd5ca0cb694dac9a,2021-09-28T00:00:00.000Z,5,12,41500
6638b175bd5ca0cb694dac9b,2021-09-28T00:00:00.000Z,5,13,4800
6638b175bd5ca0cb694dac9c,2021-09-28T00:00:00.000Z,6,4,19000
6638b175bd5ca0cb694dac9d,2021-09-28T00:00:00.000Z,6,7,208000
6638b175bd5ca0cb694dac9e,2021-09-28T00:00:00.000Z,8,4,76000
6638b175bd5ca0cb694dac9f,2021-09-28T00:00:00.000Z,8,7,861000
6638b175bd5ca0cb694daca0,2021-09-28T00:00:00.000Z,8,10,101700
6638b175bd5ca0cb694daca1,2021-09-28T00:00:00.000Z,8,11,28500
6638b175bd5ca0cb694daca2,2021-09-28T00:00:00.000Z,9,4,20000
6638b175bd5ca0cb694daca3,2021-09-28T00:00:00.000Z,9,7,488000
6638b175bd5ca0cb694daca4,2021-09-28T00:00:00.000Z,12,4,46000
6638b175bd5ca0cb694daca5,2021-09-28T00:00:00.000Z,12,7,581000
6638b175bd5ca0cb694daca6,2021-09-28T00:00:00.000Z,13,4,64000
6638b175bd5ca0cb694daca7,2021-09-28T00:00:00.000Z,13,7,415000
6638b175bd5ca0cb694daca8,2021-09-28T00:00:00.000Z,14,7,33000
6638b175bd5ca0cb694daca9,2021-09-28T00:00:00.000Z,15,4,11000
6638b175bd5ca0cb694dacaa,2021-09-28T00:00:00.000Z,15,7,341000
6638b175bd5ca0cb694dacab,2021-09-28T00:00:00.000Z,16,4,6000
6638b175bd5ca0cb694dacac,2021-09-28T00:00:00.000Z,16,7,187000
6638b175bd5ca0cb694dacad,2021-09-29T00:00:00.000Z,3,4,251400
6638b175bd5ca0cb694dacae,2021-09-29T00:00:00.000Z,3,7,1102100
6638b175bd5ca0cb694dacaf,2021-09-29T00:00:00.000Z,3,8,222000
6638b175bd5ca0cb694dacb0,2021-09-29T00:00:00.000Z,5,4,52000
6638b175bd5ca0cb694dacb1,2021-09-29T00:00:00.000Z,5,7,228000
6638b175bd5ca0cb694dacb2,2021-09-29T00:00:00.000Z,5,12,40500
6638b175bd5ca0cb694dacb3,2021-09-29T00:00:00.000Z,5,13,2550
6638b175bd5ca0cb694dacb4,2021-09-29T00:00:00.000Z,6,4,17000
6638b175bd5ca0cb694dacb5,2021-09-29T00:00:00.000Z,6,7,134000
6638b175bd5ca0cb694dacb6,2021-09-29T00:00:00.000Z,7,4,33000
6638b175bd5ca0cb694dacb7,2021-09-29T00:00:00.000Z,7,7,33000
6638b175bd5ca0cb694dacb8,2021-09-29T00:00:00.000Z,8,4,46000
6638b175bd5ca0cb694dacb9,2021-09-29T00:00:00.000Z,8,7,719000
6638b175bd5ca0cb694dacba,2021-09-29T00:00:00.000Z,8,10,77200
6638b175bd5ca0cb694dacbb,2021-09-29T00:00:00.000Z,8,11,17250
6638b175bd5ca0cb694dacbc,2021-09-29T00:00:00.000Z,9,4,23000
6638b175bd5ca0cb694dacbd,2021-09-29T00:00:00.000Z,9,7,412000
6638b175bd5ca0cb694dacbe,2021-09-29T00:00:00.000Z,12,4,32000
6638b175bd5ca0cb694dacbf,2021-09-29T00:00:00.000Z,12,7,651000
6638b175bd5ca0cb694dacc0,2021-09-29T00:00:00.000Z,13,4,12000
6638b175bd5ca0cb694dacc1,2021-09-29T00:00:00.000Z,13,7,491000
6638b175bd5ca0cb694dacc2,2021-09-29T00:00:00.000Z,14,7,33000
6638b175bd5ca0cb694dacc3,2021-09-29T00:00:00.000Z,15,4,24000
6638b175bd5ca0cb694dacc4,2021-09-29T00:00:00.000Z,15,7,303000
6638b175bd5ca0cb694dacc5,2021-09-29T00:00:00.000Z,16,4,6000
6638b175bd5ca0cb694dacc6,2021-09-29T00:00:00.000Z,16,7,154000
6638b175bd5ca0cb694dacc7,2021-09-30T00:00:00.000Z,3,4,258200
6638b175bd5ca0cb694dacc8,2021-09-30T00:00:00.000Z,3,7,1296200
6638b175bd5ca0cb694dacc9,2021-09-30T00:00:00.000Z,3,8,218160
6638b175bd5ca0cb694dacca,2021-09-30T00:00:00.000Z,5,4,45000
6638b175bd5ca0cb694daccb,2021-09-30T00:00:00.000Z,5,7,374000
6638b175bd5ca0cb694daccc,2021-09-30T00:00:00.000Z,5,12,74500
6638b175bd5ca0cb694daccd,2021-09-30T00:00:00.000Z,5,13,3000
6638b175bd5ca0cb694dacce,2021-09-30T00:00:00.000Z,6,4,12000
6638b175bd5ca0cb694daccf,2021-09-30T00:00:00.000Z,6,7,269000
6638b175bd5ca0cb694dacd0,2021-09-30T00:00:00.000Z,7,4,42000
6638b175bd5ca0cb694dacd1,2021-09-30T00:00:00.000Z,7,7,100000
6638b175bd5ca0cb694dacd2,2021-09-30T00:00:00.000Z,8,4,38000
6638b175bd5ca0cb694dacd3,2021-09-30T00:00:00.000Z,8,7,519000
6638b175bd5ca0cb694dacd4,2021-09-30T00:00:00.000Z,8,10,61300
6638b175bd5ca0cb694dacd5,2021-09-30T00:00:00.000Z,8,11,14250
6638b175bd5ca0cb694dacd6,2021-09-30T00:00:00.000Z,9,4,37000
6638b175bd5ca0cb694dacd7,2021-09-30T00:00:00.000Z,9,7,606000
6638b175bd5ca0cb694dacd8,2021-09-30T00:00:00.000Z,12,4,26000
6638b175bd5ca0cb694dacd9,2021-09-30T00:00:00.000Z,12,7,673000
6638b175bd5ca0cb694dacda,2021-09-30T00:00:00.000Z,13,4,64000
6638b175bd5ca0cb694dacdb,2021-09-30T00:00:00.000Z,13,7,539000
6638b175bd5ca0cb694dacdc,2021-09-30T00:00:00.000Z,15,4,4000
6638b175bd5ca0cb694dacdd,2021-09-30T00:00:00.000Z,15,7,382000
6638b175bd5ca0cb694dacde,2021-09-30T00:00:00.000Z,16,7,141000
6638b175bd5ca0cb694dacdf,2021-10-01T00:00:00.000Z,3,4,286300
6638b175bd5ca0cb694dace0,2021-10-01T00:00:00.000Z,3,7,971100
6638b175bd5ca0cb694dace1,2021-10-01T00:00:00.000Z,3,8,211200
6638b175bd5ca0cb694dace2,2021-10-01T00:00:00.000Z,5,4,25000
6638b175bd5ca0cb694dace3,2021-10-01T00:00:00.000Z,5,7,262000
6638b175bd5ca0cb694dace4,2021-10-01T00:00:00.000Z,5,12,65500
6638b175bd5ca0cb694dace5,2021-10-01T00:00:00.000Z,5,13,3750
6638b175bd5ca0cb694dace6,2021-10-01T00:00:00.000Z,6,4,6000
6638b175bd5ca0cb694dace7,2021-10-01T00:00:00.000Z,6,7,54000
6638b175bd5ca0cb694dace8,2021-10-01T00:00:00.000Z,7,4,40000
6638b175bd5ca0cb694dace9,2021-10-01T00:00:00.000Z,7,7,73000
6638b175bd5ca0cb694dacea,2021-10-01T00:00:00.000Z,8,4,40000
6638b175bd5ca0cb694daceb,2021-10-01T00:00:00.000Z,8,7,595000
6638b175bd5ca0cb694dacec,2021-10-01T00:00:00.000Z,8,10,74900
6638b175bd5ca0cb694daced,2021-10-01T00:00:00.000Z,8,11,15000
6638b175bd5ca0cb694dacee,2021-10-01T00:00:00.000Z,9,4,25000
6638b175bd5ca0cb694dacef,2021-10-01T00:00:00.000Z,9,7,250000
6638b175bd5ca0cb694dacf0,2021-10-01T00:00:00.000Z,12,4,22000
6638b175bd5ca0cb694dacf1,2021-10-01T00:00:00.000Z,12,7,241000
6638b175bd5ca0cb694dacf2,2021-10-01T00:00:00.000Z,13,4,28000
6638b175bd5ca0cb694dacf3,2021-10-01T00:00:00.000Z,13,7,167000
6638b175bd5ca0cb694dacf4,2021-10-01T00:00:00.000Z,15,4,7000
6638b175bd5ca0cb694dacf5,2021-10-01T00:00:00.000Z,15,7,66000
6638b175bd5ca0cb694dacf6,2021-10-01T00:00:00.000Z,16,7,47000
6638b175bd5ca0cb694dacf7,2021-10-02T00:00:00.000Z,3,4,123000
6638b175bd5ca0cb694dacf8,2021-10-02T00:00:00.000Z,3,7,870100
6638b175bd5ca0cb694dacf9,2021-10-02T00:00:00.000Z,3,8,223200
6638b175bd5ca0cb694dacfa,2021-10-02T00:00:00.000Z,5,4,4000
6638b175bd5ca0cb694dacfb,2021-10-02T00:00:00.000Z,5,7,62000
6638b175bd5ca0cb694dacfc,2021-10-02T00:00:00.000Z,5,12,7250
6638b175bd5ca0cb694dacfd,2021-10-02T00:00:00.000Z,5,13,600
6638b175bd5ca0cb694dacfe,2021-10-02T00:00:00.000Z,6,4,19000
6638b175bd5ca0cb694dacff,2021-10-02T00:00:00.000Z,6,7,109000
6638b175bd5ca0cb694dad00,2021-10-02T00:00:00.000Z,8,4,64000
6638b175bd5ca0cb694dad01,2021-10-02T00:00:00.000Z,8,7,754000
6638b175bd5ca0cb694dad02,2021-10-02T00:00:00.000Z,8,10,88400
6638b175bd5ca0cb694dad03,2021-10-02T00:00:00.000Z,8,11,24000
6638b175bd5ca0cb694dad04,2021-10-02T00:00:00.000Z,12,4,13000
6638b175bd5ca0cb694dad05,2021-10-02T00:00:00.000Z,12,7,155000
6638b175bd5ca0cb694dad06,2021-10-02T00:00:00.000Z,13,4,24000
6638b175bd5ca0cb694dad07,2021-10-02T00:00:00.000Z,13,7,180000
6638b175bd5ca0cb694dad08,2021-10-02T00:00:00.000Z,15,4,2000
6638b175bd5ca0cb694dad09,2021-10-02T00:00:00.000Z,15,7,29000
6638b175bd5ca0cb694dad0a,2021-10-03T00:00:00.000Z,3,4,33100
6638b175bd5ca0cb694dad0b,2021-10-03T00:00:00.000Z,7,7,33000
6638b175bd5ca0cb694dad0c,2021-10-04T00:00:00.000Z,3,4,352100
6638b175bd5ca0cb694dad0d,2021-10-04T00:00:00.000Z,3,7,1075000
6638b175bd5ca0cb694dad0e,2021-10-04T00:00:00.000Z,3,8,235200
6638b175bd5ca0cb694dad0f,2021-10-04T00:00:00.000Z,3,9,24000
6638b175bd5ca0cb694dad10,2021-10-04T00:00:00.000Z,5,4,8000
6638b175bd5ca0cb694dad11,2021-10-04T00:00:00.000Z,5,7,181100
6638b175bd5ca0cb694dad12,2021-10-04T00:00:00.000Z,5,12,29750
6638b175bd5ca0cb694dad13,2021-10-04T00:00:00.000Z,5,13,1200
6638b175bd5ca0cb694dad14,2021-10-04T00:00:00.000Z,6,4,10000
6638b175bd5ca0cb694dad15,2021-10-04T00:00:00.000Z,6,7,60000
6638b175bd5ca0cb694dad16,2021-10-04T00:00:00.000Z,7,4,33000
6638b175bd5ca0cb694dad17,2021-10-04T00:00:00.000Z,8,4,52000
6638b175bd5ca0cb694dad18,2021-10-04T00:00:00.000Z,8,7,674000
6638b175bd5ca0cb694dad19,2021-10-04T00:00:00.000Z,8,10,74700
6638b175bd5ca0cb694dad1a,2021-10-04T00:00:00.000Z,8,11,19500
6638b175bd5ca0cb694dad1b,2021-10-04T00:00:00.000Z,9,4,30000
6638b175bd5ca0cb694dad1c,2021-10-04T00:00:00.000Z,9,7,736000
6638b175bd5ca0cb694dad1d,2021-10-04T00:00:00.000Z,12,4,58000
6638b175bd5ca0cb694dad1e,2021-10-04T00:00:00.000Z,12,7,525000
6638b175bd5ca0cb694dad1f,2021-10-04T00:00:00.000Z,13,4,48000
6638b175bd5ca0cb694dad20,2021-10-04T00:00:00.000Z,13,7,286000
6638b175bd5ca0cb694dad21,2021-10-04T00:00:00.000Z,15,4,11000
6638b175bd5ca0cb694dad22,2021-10-04T00:00:00.000Z,15,7,119000
6638b175bd5ca0cb694dad23,2021-10-04T00:00:00.000Z,16,4,6000
6638b175bd5ca0cb694dad24,2021-10-04T00:00:00.000Z,16,7,60000
6638b175bd5ca0cb694dad25,2021-10-05T00:00:00.000Z,3,4,240330
6638b175bd5ca0cb694dad26,2021-10-05T00:00:00.000Z,3,7,957100
6638b175bd5ca0cb694dad27,2021-10-05T00:00:00.000Z,3,8,184200
6638b175bd5ca0cb694dad28,2021-10-05T00:00:00.000Z,3,9,9900
