_id,TANK_CODE,NAME,SHELL_CAPACITY,TERMINAL_PRODUCT_NUMBER
6632614398f5da4115f8d583,TK-100,ADD GO AFR,5000,8
6632614398f5da4115f8d584,TK-101,GASOIL,40051040,7
6632614398f5da4115f8d585,TK-102,GASOIL,40052350,7
6632614398f5da4115f8d586,TK-103,GASOIL,40059210,7
6632614398f5da4115f8d587,TK-104,GASOIL,27029960,7
6632614398f5da4115f8d588,TK-105,MOGAS,9529820,4
6632614398f5da4115f8d589,TK-106,MOGAS,9533050,4
6632614398f5da4115f8d58a,TK-200,ADD MOG AFR,5000,9
6632614398f5da4115f8d58b,TK-201,MOGAS,14380470,4
6632614398f5da4115f8d58c,TK-202,MOGAS,14384200,4
6632614398f5da4115f8d58d,TK-203,GASOIL,27044300,7
6632614398f5da4115f8d58e,TK-204,GASOIL,27060130,7
6632614398f5da4115f8d58f,TK-205,GASOIL,27036170,7
6632614398f5da4115f8d590,TK-206,GASOIL,27033130,7
6632614398f5da4115f8d591,TK-300,ADD GO OLA,5000,12
6632614398f5da4115f8d592,TK-301,FUEL OIL,40201080,1
6632614398f5da4115f8d593,TK-302,MDO,14381120,2
6632614398f5da4115f8d594,TK-303,CUTTER STOCK,14385160,3
6632614398f5da4115f8d595,TK-400,ADD MOG OLA,5000,13
6632614398f5da4115f8d596,TK-500,ADD GO TOTAL,5000,10
6632614398f5da4115f8d597,TK-600,ADD MOG TOTAL,5000,11
