INJECTOR_CODE,FOLIO_NUMBER,ORDERED_QUANTITY,COMMITTED_NET_QUANTITY,UNACCOUNTED,FRAC_UNACCOUNTED,PRODUCT_THRUPUT,serka
INJ_201,20210928,10200,10200,0,-1,33973,-23773
INJ_201,20210929,24600,22200,0,1,78211,-56011
INJ_201,20210930,16200,16200,0,0,53963,-37763
INJ_201,20211001,25800,20700,0,-1,83864,-63164
INJ_201,20211002,26400,26400,0,1,87951,-61551
INJ_201,20211004,32100,32100,0,0,106955,-74855
INJ_201,20211005,31800,31800,0,-2,105952,-74152
INJ_201,20211006,36300,36300,0,1,120950,-84650
INJ_201,20211007,37800,37800,0,-1,125940,-88140
INJ_201,20211008,26400,26400,0,-2,87962,-61562
INJ_201,20211009,23400,23400,0,0,77954,-54554
INJ_201,20211011,27600,23400,0,0,77903,-54503
INJ_201,20211012,33000,33000,0,-2,109939,-76939
INJ_201,20211013,8400,8400,19,201,27981,-19581
INJ_201,20211022,24300,21900,0,1,72954,-51054
INJ_201,20211023,13200,13200,0,0,43979,-30779
INJ_201,20211025,2100,2100,0,0,6992,-4892
INJ_201,20211026,6900,6900,0,-1,22993,-16093
INJ_201,20211027,44100,41100,0,1,136923,-95823
INJ_201,20211028,22200,18000,0,0,68152,-50152
INJ_201,20211029,36600,36600,0,0,121943,-85343
INJ_201,20211030,81000,81000,0,-1,269857,-188857
INJ_201,20211101,35700,31500,0,0,104942,-73442
INJ_201,20211102,29700,25500,0,1,84963,-59463
INJ_201,20211103,30600,28200,0,2,93951,-65751
INJ_201,20211104,18000,15600,0,0,51976,-36376
INJ_201,20211105,29400,29400,0,0,97951,-68551
INJ_201,20211106,18300,18300,0,0,60970,-42670
INJ_201,20211108,33300,33300,0,0,110950,-77650
INJ_201,20211109,17700,17700,0,1,58967,-41267
INJ_201,20211110,21300,19500,0,0,70963,-51463
INJ_201,20211111,41700,39300,0,-1,136923,-97623
INJ_201,20211112,15000,13800,0,1,45976,-32176
INJ_201,20211113,19500,17700,5,999,68968,-51268
INJ_201,20211115,3000,3000,0,0,0,3000
INJ_201,20211116,6000,6000,0,0,19991,-13991
INJ_201,20211117,36600,34200,0,0,113949,-79749
INJ_201,20211118,16200,16200,0,-2,53974,-37774
INJ_201,20211119,15600,15600,0,1,51972,-36372
INJ_201,20211120,29400,27000,0,0,89954,-62954
INJ_201,20211122,4800,4800,0,0,15989,-11189
INJ_201,20211126,900,900,0,0,2997,-2097
INJ_201,20211127,57300,47400,0,0,175983,-128583
INJ_201,20211129,30000,20400,0,-1,77287,-56887
INJ_201,20211130,21900,21900,0,2,72959,-51059
INJ_201,20211201,19500,16500,0,0,54974,-38474
INJ_201,20211202,34200,28500,0,1,104326,-75826
INJ_201,20211203,23100,23100,0,2,76965,-53865
INJ_201,20211204,36300,35100,0,1,116941,-81841
INJ_201,20211206,18000,18000,0,1,59971,-41971
INJ_201,20211207,29100,27300,0,0,90960,-63660
INJ_201,20211208,19200,19200,0,0,63957,-44757
INJ_201,20211209,54600,52800,0,0,175910,-123110
INJ_201,20211210,35400,28800,0,0,95928,-67128
INJ_201,20211211,21600,21600,0,0,71967,-50367
INJ_201,20211213,43200,43200,0,-2,143923,-100723
INJ_201,20211214,39000,34200,0,0,113955,-79755
INJ_201,20211215,41400,37200,0,2,129812,-92612
INJ_201,20211216,8400,8400,0,0,27987,-19587
INJ_201,20211217,21600,16800,0,2,55847,-39047
INJ_201,20211218,36000,14100,0,-1,46983,-32883
INJ_201,20211221,21900,18900,0,1,62967,-44067
INJ_201,20211222,40200,37200,0,3,123939,-86739
INJ_201,20211223,19200,19200,0,-2,63954,-44754
INJ_201,20211224,36000,33000,0,-1,109917,-76917
INJ_201,20211225,29700,25500,0,-1,96442,-70942
INJ_201,20211227,24600,24600,0,2,81951,-57351
INJ_201,20211228,42900,38100,0,0,126942,-88842
INJ_201,20211229,27000,23400,0,1,77963,-54563
INJ_201,20211230,14400,9000,0,0,29988,-20988
INJ_201,20211231,56400,55500,0,-1,184919,-129419
INJ_201,20220101,19200,19200,0,600,63975,-44775
INJ_201,20220102,5700,5700,0,0,18987,-13287
INJ_201,20220103,24600,24600,0,1,81943,-57343
INJ_201,20220104,19200,19200,0,-2,63941,-44741
INJ_201,20220105,4800,2400,0,0,1078,1322
INJ_201,20220110,4800,2400,0,0,1077,1323
INJ_201,20220126,27300,27300,0,-1,90955,-63655
INJ_201,20220127,38100,38100,0,0,126950,-88850
INJ_201,20220128,33300,33300,0,1,110956,-77656
INJ_201,20220129,16500,16500,0,0,54974,-38474
INJ_201,20220131,42300,42300,0,2,140928,-98628
INJ_201,20220201,19500,19500,0,0,64975,-45475
INJ_201,20220202,27300,26700,0,1,88936,-62236
INJ_201,20220203,6900,6900,0,1,22992,-16092
INJ_201,20220204,23100,21900,0,0,73471,-51571
INJ_201,20220205,42300,42300,0,0,140935,-98635
INJ_201,20220207,15900,15900,0,0,52970,-37070
INJ_201,20220208,23700,23700,0,0,78958,-55258
INJ_201,20220209,27000,27000,0,0,89961,-62961
INJ_201,20220210,12000,12000,0,0,39980,-27980
INJ_201,20220211,10800,10800,0,1,35976,-25176
INJ_201,20220212,16200,16200,0,0,53970,-37770
INJ_201,20220214,21300,21300,0,0,70971,-49671
INJ_201,20220215,37200,28800,0,0,95940,-67140
INJ_201,20220216,29700,29700,0,2,98949,-69249
INJ_201,20220217,27000,24600,0,0,81958,-57358
INJ_201,20220218,17400,17400,0,0,57976,-40576
INJ_201,20220219,14400,3600,0,1,2950,650
INJ_201,20220806,12600,0,0,0,2866,-2866
INJ_201,20220916,625,250,0,0,4197,-3947
INJ_201,20220924,750,750,0,0,5993,-5243
INJ_201,20221005,1250,1250,0,0,9997,-8747
INJ_201,20221007,500,500,0,0,3996,-3496
INJ_201,20221008,375,0,0,0,578,-578
INJ_201,20221015,375,0,0,0,1082,-1082
INJ_201,20221028,250,250,0,0,1996,-1746
INJ_201,20221101,375,0,0,-1,2204,-2204
INJ_201,20221119,750,750,0,1,5997,-5247
INJ_201,20221124,375,375,0,-1,2997,-2622
INJ_201,20221206,375,375,0,0,2997,-2622
INJ_201,20221209,625,625,0,0,4993,-4368
INJ_201,20221210,1875,1875,0,0,14991,-13116
INJ_201,20221220,250,250,0,0,1995,-1745
INJ_201,20221222,500,500,0,0,3997,-3497
