METER_CODE,FOLIO_NUMBER,ORDERED_QUANTITY,COMMITTED_NET_QUANTITY,GROSS_UNACCOUNTED,GROSS_THRUPUT,ACTUAL_GROSS_THRUPUT,serka,serka2,serka3
MTR_201,20210927,172100,165698,7998,337871,345869,-165771,-172173,-180171
MTR_201,20210928,469000,456173,13995,448730,462725,20270,7443,-6552
MTR_201,20210929,564000,522630,4,530971,530975,33029,-8341,-8345
MTR_201,20210930,598000,551413,1,563237,563238,34763,-11824,-11825
MTR_201,20211001,308100,282753,3,299805,299808,8295,-17052,-17055
MTR_201,20211002,276000,260835,1,262836,262837,13164,-2001,-2002
MTR_201,20211004,444100,440565,3,443786,443789,314,-3221,-3224
MTR_201,20211005,357450,325894,-1,328257,328256,29193,-2363,-2362
MTR_201,20211006,518000,479277,4,482727,482731,35273,-3450,-3454
MTR_201,20211007,398000,375102,1,377818,377819,20182,-2716,-2717
MTR_201,20211008,584000,550773,0,559764,559764,24236,-8991,-8991
MTR_201,20211009,405100,383173,2,385811,385813,19289,-2638,-2640
MTR_201,20211011,461250,439896,2,442750,442752,18500,-2854,-2856
MTR_201,20211012,638000,614339,4,618663,618667,19337,-4324,-4328
MTR_201,20211013,116000,115134,266975,115927,382902,73,-793,-267768
MTR_201,20211014,391100,309796,193875,334460,528335,56640,-24664,-218539
MTR_201,20211015,703200,629579,3,619077,619080,84123,10502,10499
MTR_201,20211016,314100,295969,6,289878,289884,24222,6091,6085
MTR_201,20211017,48000,47661,1,47970,47971,30,-309,-310
MTR_201,20211018,373100,370483,-3,369828,369825,3272,655,658
MTR_201,20211019,95000,94335,3,94940,94943,60,-605,-608
MTR_201,20211020,173000,171789,1,172906,172907,94,-1117,-1118
MTR_201,20211021,255100,236460,2,237887,237889,17213,-1427,-1429
MTR_201,20211022,242000,219511,3,220882,220885,21118,-1371,-1374
MTR_201,20211023,313100,309054,2,310889,310891,2211,-1835,-1837
MTR_201,20211025,390000,376580,1,378795,378796,11205,-2215,-2216
MTR_201,20211026,352000,339864,0,341817,341817,10183,-1953,-1953
MTR_201,20211027,425000,412428,3,414752,414755,10248,-2324,-2327
MTR_201,20211028,403000,357789,1,377388,377389,25612,-19599,-19600
MTR_201,20211029,570000,528783,4,531708,531712,38292,-2925,-2929
MTR_201,20211030,580000,559622,1,562708,562709,17292,-3086,-3087
MTR_201,20211101,372000,355849,0,357792,357792,14208,-1943,-1943
MTR_201,20211102,407000,372746,7,374794,374801,32206,-2048,-2055
MTR_201,20211103,399000,388715,-1,390794,390793,8206,-2079,-2078
MTR_201,20211104,361600,339234,1,340873,340874,20727,-1639,-1640
MTR_201,20211105,468100,434777,-2,436814,436812,31286,-2037,-2035
MTR_201,20211106,288100,286650,-3,287871,287868,229,-1221,-1218
MTR_201,20211107,41000,40807,0,40979,40979,21,-172,-172
MTR_201,20211108,424000,397212,1,398776,398777,25224,-1564,-1565
MTR_201,20211109,405000,396297,1,397758,397759,7242,-1461,-1462
MTR_201,20211110,460000,444144,-8,451736,451728,8264,-7592,-7584
MTR_201,20211111,493000,468110,5,475697,475702,17303,-7587,-7592
MTR_201,20211112,394100,361657,3,362804,362807,31296,-1147,-1150
MTR_201,20211113,330000,287873,37993,298838,336831,31162,-10965,-48958
MTR_201,20211114,19000,18925,1,18991,18992,9,-66,-67
MTR_201,20211115,495100,478274,-3,469811,469808,25289,8463,8466
MTR_201,20211116,438000,396530,7,404597,404604,33403,-8067,-8074
MTR_201,20211117,444200,405736,-1,406928,406927,37272,-1192,-1191
MTR_201,20211118,383000,369739,2,370788,370790,12212,-1049,-1051
MTR_201,20211119,488000,457486,1,458718,458719,29282,-1232,-1233
MTR_201,20211120,443000,427665,7,428719,428726,14281,-1054,-1061
MTR_201,20211121,19000,18945,0,18987,18987,13,-42,-42
MTR_201,20211122,549000,523549,0,524696,524696,24304,-1147,-1147
MTR_201,20211123,503000,478761,5,494734,494739,8266,-15973,-15978
MTR_201,20211124,372000,350173,2,350793,350795,21207,-620,-622
MTR_201,20211125,461000,428076,-5,428748,428743,32252,-672,-667
MTR_201,20211126,439000,414692,5,405774,405779,33226,8918,8913
MTR_201,20211127,505000,431271,6,449772,449778,55228,-18501,-18507
MTR_201,20211129,458100,419577,2,429101,429103,28999,-9524,-9526
MTR_201,20211130,285000,284670,-1,284820,284819,180,-150,-149
MTR_201,20211201,421000,402595,3,402755,402758,18245,-160,-163
MTR_201,20211202,421100,381748,2,391183,391185,29917,-9435,-9437
MTR_201,20211203,427100,399803,7001,403971,410972,23129,-4168,-11169
MTR_201,20211204,552000,524684,-2,524737,524735,27263,-53,-51
MTR_201,20211206,403000,393788,5,393792,393797,9208,-4,-9
MTR_201,20211207,345000,338859,3,338812,338815,6188,47,44
MTR_201,20211208,321000,312858,1,312832,312833,8168,26,25
MTR_201,20211209,435000,370867,6,383015,383021,51985,-12148,-12154
MTR_201,20211210,532000,478862,10,478712,478722,53288,150,140
MTR_201,20211211,421000,353883,5,364822,364827,56178,-10939,-10944
MTR_201,20211213,373000,367867,-1,367803,367802,5197,64,65
MTR_201,20211214,416000,373927,5,373809,373814,42191,118,113
MTR_201,20211215,394100,373981,0,379673,379673,14427,-5692,-5692
MTR_201,20211216,518000,417805,-1,417784,417783,100216,21,22
MTR_201,20211217,572000,487731,4,487759,487763,84241,-28,-32
MTR_201,20211218,514000,421744,1,425181,425182,88819,-3437,-3438
MTR_201,20211220,512000,472677,0,472723,472723,39277,-46,-46
