INJECTOR_CODE,successive_non_zero,successive_non_zero_abs_sum,last_date_non_zero,repaired,cluster
INJ_201,1,500,350,1,1
INJ_202,1,500,350,1,1
INJ_203,1,271,350,1,1
INJ_204,1,718,560,1,0
INJ_205,1,203,279,1,1
INJ_206,1,772,469,1,0
INJ_207,1,585,553,1,0
INJ_208,29,13847,279,1,2
INJ_209,1,71,553,1,0
INJ_301,1,200,840,1,0
INJ_302,1,636,794,1,0
INJ_303,1,998,842,1,0
INJ_304,1,827,325,1,1
INJ_305,4,2004,278,1,1
INJ_306,1,722,325,1,1
INJ_307,1,987,566,1,0
INJ_308,2,1119,278,1,1
INJ_309,1,267,838,1,0
INJ_401,1,901,331,1,1
INJ_402,2,1486,583,1,0
INJ_403,1,343,331,1,1
INJ_404,1,31,368,1,1
INJ_405,2,901,280,1,1
INJ_406,1,331,474,1,0
INJ_407,1,904,464,1,0
INJ_408,6,3577,280,1,1
INJ_409,1,797,464,1,0
INJ_501,1,787,346,1,1
INJ_502,1,902,584,1,0
INJ_503,1,689,346,1,1
INJ_504,1,528,563,1,0
INJ_505,1,54,279,1,1
INJ_506,1,526,482,1,0
INJ_507,1,265,482,1,0
INJ_508,11,5688,279,1,1
INJ_509,0,0,0,1,1
